Time	IDW	26072	26093	26096
9/4/80	0.273865054	NaN	0	1
9/5/80	0	NaN	0	0
9/6/80	0	NaN	0	0
9/7/80	0	NaN	0	0
9/8/80	0	NaN	0	0
9/9/80	0	NaN	0	0
9/10/80	0	NaN	0	0
9/11/80	0	NaN	0	0
9/12/80	0	NaN	0	0
9/13/80	0	NaN	0	0
9/14/80	0	NaN	0	0
9/15/80	0	NaN	0	0
9/16/80	0	NaN	0	0
9/17/80	0	NaN	0	0
9/18/80	0	NaN	0	0
9/19/80	0	NaN	0	0
9/20/80	0	NaN	0	0
9/21/80	0	NaN	0	0
9/22/80	0	NaN	0	0
9/23/80	0	NaN	0	0
9/24/80	0	NaN	0	0
9/25/80	0	NaN	0	0
9/26/80	0	NaN	0	0
9/27/80	0	NaN	0	0
9/28/80	0	NaN	0	0
9/29/80	0	NaN	0	0
9/30/80	0	NaN	0	0
10/1/80	0	NaN	0	0
10/2/80	0	NaN	0	0
10/3/80	0	NaN	0	0
10/4/80	0	NaN	0	0
10/5/80	0	NaN	0	0
10/6/80	0	NaN	0	0
10/7/80	0	NaN	0	0
10/8/80	0	NaN	0	0
10/9/80	0	NaN	0	0
10/10/80	0	NaN	0	0
10/11/80	0	NaN	0	0
10/12/80	0	NaN	0	0
10/13/80	0	NaN	0	0
10/14/80	0	NaN	0	0
10/15/80	0	NaN	0	0
10/16/80	0	NaN	0	0
10/17/80	0	NaN	0	0
10/18/80	0	NaN	0	0
10/19/80	0	NaN	0	0
10/20/80	0	NaN	0	0
10/21/80	0	NaN	0	0
10/22/80	0	NaN	0	0
10/23/80	0	NaN	0	0
10/24/80	0	NaN	0	0
10/25/80	0	NaN	0	0
10/26/80	0	NaN	0	0
10/27/80	0	NaN	0	0
10/28/80	0	NaN	0	0
10/29/80	0	NaN	0	0
10/30/80	0	NaN	0	0
10/31/80	0	NaN	0	0
11/1/80	0	NaN	0	0
11/2/80	0	NaN	0	0
11/3/80	0	NaN	0	0
11/4/80	0	NaN	0	0
11/5/80	0	NaN	0	0
11/6/80	0	NaN	0	0
11/7/80	0	NaN	0	0
11/8/80	0	NaN	0	0
11/9/80	0	NaN	0	0
11/10/80	0	NaN	0	0
11/11/80	0	NaN	0	0
11/12/80	0	NaN	0	0
11/13/80	0	NaN	0	0
11/14/80	0	NaN	0	0
11/15/80	0	NaN	0	0
11/16/80	0	NaN	0	0
11/17/80	0	NaN	0	0
11/18/80	0	NaN	0	0
11/19/80	0	NaN	0	0
11/20/80	0	NaN	0	0
11/21/80	0	NaN	0	0
11/22/80	0	NaN	0	0
11/23/80	0	NaN	0	0
11/24/80	0	NaN	0	0
11/25/80	0	NaN	0	0
11/26/80	0	NaN	0	0
11/27/80	0	NaN	0	0
11/28/80	0	NaN	0	0
11/29/80	0	NaN	0	0
11/30/80	0	NaN	0	0
12/1/80	0	NaN	0	0
12/2/80	0	NaN	0	0
12/3/80	0	NaN	0	0
12/4/80	0	NaN	0	0
12/5/80	0	NaN	0	0
12/6/80	0	NaN	0	0
12/7/80	0	NaN	0	0
12/8/80	0	NaN	0	0
12/9/80	0	NaN	0	0
12/10/80	0	NaN	0	0
12/11/80	0	NaN	0	0
12/12/80	0	NaN	0	0
12/13/80	0	NaN	0	0
12/14/80	0	NaN	0	0
12/15/80	0	NaN	0	0
12/16/80	0	NaN	0	0
12/17/80	0	NaN	0	0
12/18/80	0	NaN	0	0
12/19/80	0	NaN	0	0
12/20/80	0	NaN	0	0
12/21/80	0	NaN	0	0
12/22/80	0	NaN	0	0
12/23/80	0	NaN	0	0
12/24/80	0	NaN	0	0
12/25/80	0	NaN	0	0
12/26/80	0	NaN	0	0
12/27/80	0	NaN	0	0
12/28/80	0	NaN	0	0
12/29/80	0	NaN	0	0
12/30/80	0	NaN	0	0
12/31/80	0	NaN	0	0
1/1/81	0	NaN	0	0
1/2/81	0	NaN	0	0
1/3/81	0	NaN	0	0
1/4/81	0	NaN	0	0
1/5/81	0	NaN	0	0
1/6/81	0.149872754	NaN	0.3	0
1/7/81	0	NaN	0	0
1/8/81	0	NaN	0	0
1/9/81	0	NaN	0	0
1/10/81	0	NaN	0	0
1/11/81	8.756151475	NaN	3	26.5
1/12/81	11.12760114	NaN	22	0.5
1/13/81	0	NaN	0	0
1/14/81	0	NaN	0	0
1/15/81	2.248091307	NaN	4.5	0
1/16/81	0	NaN	0	0
1/17/81	0	NaN	0	0
1/18/81	0	NaN	0	0
1/19/81	0	NaN	0	0
1/20/81	0	NaN	0	0
1/21/81	0	NaN	0	0
1/22/81	0	NaN	0	0
1/23/81	0	NaN	0	0
1/24/81	0	NaN	0	0
1/25/81	0	NaN	0	0
1/26/81	0	NaN	0	0
1/27/81	0	NaN	0	0
1/28/81	0	NaN	0	0
1/29/81	0	NaN	0	0
1/30/81	0	NaN	0	0
1/31/81	0	NaN	0	0
2/1/81	0	NaN	0	0
2/2/81	0	NaN	0	0
2/3/81	0	NaN	0	0
2/4/81	0	NaN	0	0
2/5/81	0	NaN	0	0
2/6/81	0	NaN	0	0
2/7/81	0	NaN	0	0
2/8/81	2.104540032	NaN	3.5	1.3
2/9/81	0.383411076	NaN	0	1.4
2/10/81	0	NaN	0	0
2/11/81	0	NaN	0	0
2/12/81	0	NaN	0	0
2/13/81	0	NaN	0	0
2/14/81	0	NaN	0	0
2/15/81	0	NaN	0	0
2/16/81	0	NaN	0	0
2/17/81	0	NaN	0	0
2/18/81	0	NaN	0	0
2/19/81	0	NaN	0	0
2/20/81	0	NaN	0	0
2/21/81	0	NaN	0	0
2/22/81	0	NaN	0	0
2/23/81	0	NaN	0	0
2/24/81	0	NaN	0	0
2/25/81	0.054773011	NaN	0	0.2
2/26/81	0	NaN	0	0
2/27/81	0	NaN	0	0
2/28/81	0	NaN	0	0
3/1/81	1.999214896	NaN	0	7.3
3/2/81	11.83063367	NaN	16.5	13.1
3/3/81	12.04098667	NaN	21.8	4.2
3/4/81	0.191705538	NaN	0	0.7
3/5/81	4.730335178	NaN	3	11.8
3/6/81	0	NaN	0	0
3/7/81	0	NaN	0	0
3/8/81	0	NaN	0	0
3/9/81	0	NaN	0	0
3/10/81	0	NaN	0	0
3/11/81	0	NaN	0	0
3/12/81	0	NaN	0	0
3/13/81	0	NaN	0	0
3/14/81	0	NaN	0	0
3/15/81	0	NaN	0	0
3/16/81	0	NaN	0	0
3/17/81	0	NaN	0	0
3/18/81	0	NaN	0	0
3/19/81	0	NaN	0	0
3/20/81	0	NaN	0	0
3/21/81	0	NaN	0	0
3/22/81	0	NaN	0	0
3/23/81	0	NaN	0	0
3/24/81	0	NaN	0	0
3/25/81	0	NaN	0	0
3/26/81	0	NaN	0	0
3/27/81	0	NaN	0	0
3/28/81	0	NaN	0	0
3/29/81	0	NaN	0	0
3/30/81	0	NaN	0	0
3/31/81	0	NaN	0	0
4/1/81	0	NaN	0	0
4/2/81	2.136147423	NaN	0	7.8
4/3/81	0	NaN	0	0
4/4/81	0	NaN	0	0
4/5/81	0	NaN	0	0
